time,source_month,S0_mean,Sg_mean,S0_mean_anom,Sg_mean_anom
2021-01-27,2021-01-01,0.03530309739083855,0.004046174384934681,-0.0038822566162511783,-0.008078498253225591
2021-02-08,2021-02-01,0.03621378771859844,0.005080313190905696,-0.002971566288491279,-0.007044359447254575
2021-02-20,2021-02-01,0.03621378771859844,0.005080313190905696,-0.002971566288491279,-0.007044359447254575
2021-03-04,2021-03-01,0.025381502161534977,0.0037707802312292615,-0.013803851845554748,-0.008353892406931011
2021-03-16,2021-03-01,0.025381502161534977,0.0037707802312292615,-0.013803851845554748,-0.008353892406931011
2021-03-28,2021-03-01,0.025381502161534977,0.0037707802312292615,-0.013803851845554748,-0.008353892406931011
2021-04-09,2021-04-01,0.02316358117123894,0.0036521825239722787,-0.01602177283585078,-0.008472490114187993
2021-04-21,2021-04-01,0.02316358117123894,0.0036521825239722787,-0.01602177283585078,-0.008472490114187993
2021-05-03,2021-05-01,0.02405004191896479,0.004385104043174048,-0.015135312088124929,-0.007739568594986226
2021-05-15,2021-05-01,0.02405004191896479,0.004385104043174048,-0.015135312088124929,-0.007739568594986226
2021-05-27,2021-05-01,0.02405004191896479,0.004385104043174048,-0.015135312088124929,-0.007739568594986226
2021-06-08,2021-06-01,0.02056410944909861,0.004920910105750535,-0.018621244557991114,-0.007203762532409738
2021-06-20,2021-06-01,0.02056410944909861,0.004920910105750535,-0.018621244557991114,-0.007203762532409738
2021-07-02,2021-07-01,0.03783375465068566,0.012721053314612183,-0.0013515993564040547,0.0005963806764519115
2021-07-14,2021-07-01,0.03783375465068566,0.012721053314612183,-0.0013515993564040547,0.0005963806764519115
2021-07-26,2021-07-01,0.03783375465068566,0.012721053314612183,-0.0013515993564040547,0.0005963806764519115
2021-08-07,2021-08-01,0.05396322372339577,0.03503518539716302,0.01477786971630605,0.022910512759002744
2021-08-19,2021-08-01,0.05396322372339577,0.03503518539716302,0.01477786971630605,0.022910512759002744
2021-08-31,2021-08-01,0.05396322372339577,0.03503518539716302,0.01477786971630605,0.022910512759002744
2021-09-12,2021-09-01,0.061956932638271726,0.02831138324015761,0.02277157863118201,0.01618671060199734
2021-09-24,2021-09-01,0.061956932638271726,0.02831138324015761,0.02277157863118201,0.01618671060199734
2021-10-06,2021-10-01,0.056317081653186205,0.019174071509518668,0.017131727646096485,0.007049398871358395
2021-10-18,2021-10-01,0.056317081653186205,0.019174071509518668,0.017131727646096485,0.007049398871358395
2021-10-30,2021-10-01,0.056317081653186205,0.019174071509518668,0.017131727646096485,0.007049398871358395
2021-11-11,2021-11-01,0.03887934986466507,0.00998903886093571,-0.00030600414242465065,-0.0021356337772245612
2021-11-23,2021-11-01,0.03887934986466507,0.00998903886093571,-0.00030600414242465065,-0.0021356337772245612
2021-12-05,2021-12-01,0.026319877678606822,0.006248739998178937,-0.012865476328482903,-0.005875932639981336
2021-12-17,2021-12-01,0.026319877678606822,0.006248739998178937,-0.012865476328482903,-0.005875932639981336
2021-12-29,2021-12-01,0.026319877678606822,0.006248739998178937,-0.012865476328482903,-0.005875932639981336
2022-01-10,2022-01-01,0.05189637668513948,0.009040693159176307,0.012711022678049765,-0.003083979478983966
2022-01-22,2022-01-01,0.05189637668513948,0.009040693159176307,0.012711022678049765,-0.003083979478983966
2022-02-03,2022-02-01,0.051267804217631954,0.01073738150437045,0.012082450210542241,-0.0013872911337898198
2022-02-15,2022-02-01,0.051267804217631954,0.01073738150437045,0.012082450210542241,-0.0013872911337898198
2022-02-27,2022-02-01,0.051267804217631954,0.01073738150437045,0.012082450210542241,-0.0013872911337898198
2022-03-11,2022-03-01,0.03644728647183811,0.006982725887196584,-0.0027380675352516068,-0.005141946750963689
2022-03-23,2022-03-01,0.03644728647183811,0.006982725887196584,-0.0027380675352516068,-0.005141946750963689
2022-04-04,2022-04-01,0.013508160546152712,0.004167298434658261,-0.025677193460937015,-0.007957374203502012
2022-04-16,2022-04-01,0.013508160546152712,0.004167298434658261,-0.025677193460937015,-0.007957374203502012
2022-04-28,2022-04-01,0.013508160546152712,0.004167298434658261,-0.025677193460937015,-0.007957374203502012
2022-05-10,2022-05-01,0.012979251649397082,0.003712616067179053,-0.02620610235769264,-0.008412056570981218
2022-05-22,2022-05-01,0.012979251649397082,0.003712616067179053,-0.02620610235769264,-0.008412056570981218
2022-06-03,2022-06-01,0.02498371967985588,0.0035457683001627566,-0.014201634327233842,-0.008578904337997515
