time,n_pixels,soil_moisture_mean,soil_moisture_std,source_file
2018-09-20,80,0.21791722234338523,0.021471564597491995,SMAP_L3_SM_P_E_20180920_R19240_001.h5
2018-09-26,48,0.1784385551388065,0.017548731117078505,SMAP_L3_SM_P_E_20180926_R19240_001.h5
2018-10-02,0,,,SMAP_L3_SM_P_E_20181002_R19240_001.h5
2018-10-08,68,0.2910604680724004,0.0305334580622997,SMAP_L3_SM_P_E_20181008_R19240_001.h5
2018-10-14,80,0.22823770623654127,0.02050566504518506,SMAP_L3_SM_P_E_20181014_R19240_001.h5
2018-10-20,49,0.21153232668127334,0.01392449007666462,SMAP_L3_SM_P_E_20181020_R19240_001.h5
2018-10-26,0,,,SMAP_L3_SM_P_E_20181026_R19240_001.h5
2018-11-01,8,0.3392723388969898,0.024966208580986447,SMAP_L3_SM_P_E_20181101_R19240_001.h5
2018-11-07,82,0.35486155203202874,0.026030780491283444,SMAP_L3_SM_P_E_20181107_R19240_001.h5
2018-11-13,49,0.3124062856849359,0.02768097750837363,SMAP_L3_SM_P_E_20181113_R19240_001.h5
2018-11-19,0,,,SMAP_L3_SM_P_E_20181119_R19240_001.h5
2018-11-25,67,0.34040848176870775,0.022833597004845423,SMAP_L3_SM_P_E_20181125_R19240_001.h5
2018-12-01,84,0.31077675379457925,0.020308779064963523,SMAP_L3_SM_P_E_20181201_R19240_001.h5
2018-12-07,51,0.31779348090583204,0.029738617023529507,SMAP_L3_SM_P_E_20181207_R19240_001.h5
2018-12-13,0,,,SMAP_L3_SM_P_E_20181213_R19240_001.h5
2018-12-19,43,0.2746991976055988,0.024498676764623577,SMAP_L3_SM_P_E_20181219_R19240_001.h5
2018-12-25,84,0.3065181647737821,0.030926811181607384,SMAP_L3_SM_P_E_20181225_R19240_001.h5
2018-12-31,52,0.2682441481604026,0.02247711243247396,SMAP_L3_SM_P_E_20181231_R19240_001.h5
2019-01-06,0,,,SMAP_L3_SM_P_E_20190106_R19240_001.h5
2019-01-12,66,0.17433813214302063,0.01370785213776313,SMAP_L3_SM_P_E_20190112_R19240_001.h5
2019-01-18,86,0.23637709957222605,0.021799204612266785,SMAP_L3_SM_P_E_20190118_R19240_001.h5
2019-01-24,41,0.230697371974224,0.016939720103641608,SMAP_L3_SM_P_E_20190124_R19240_001.h5
2019-01-30,0,,,SMAP_L3_SM_P_E_20190130_R19240_001.h5
2019-02-05,65,0.2850558042526245,0.023770222821735125,SMAP_L3_SM_P_E_20190205_R19240_001.h5
2019-02-11,86,0.2711909401208855,0.02311328752944867,SMAP_L3_SM_P_E_20190211_R19240_001.h5
2019-02-17,52,0.24140802656228727,0.012244853668319584,SMAP_L3_SM_P_E_20190217_R19240_001.h5
2019-02-23,0,,,SMAP_L3_SM_P_E_20190223_R19240_001.h5
2019-03-01,65,0.20545659042321718,0.014229350192928602,SMAP_L3_SM_P_E_20190301_R19240_001.h5
2019-03-07,86,0.18423812853735547,0.013049631566392607,SMAP_L3_SM_P_E_20190307_R19240_001.h5
2019-03-13,52,0.17121443725549257,0.013080179802010048,SMAP_L3_SM_P_E_20190313_R19240_001.h5
2019-03-19,0,,,SMAP_L3_SM_P_E_20190319_R19240_001.h5
2019-03-25,69,0.18478564896445343,0.022716322704552618,SMAP_L3_SM_P_E_20190325_R19240_001.h5
2019-03-31,82,0.17260547109493396,0.01925061875782872,SMAP_L3_SM_P_E_20190331_R19240_001.h5
2019-04-06,49,0.2677320503458685,0.02083224590459441,SMAP_L3_SM_P_E_20190406_R19240_001.h5
2019-04-12,0,,,SMAP_L3_SM_P_E_20190412_R19240_001.h5
2019-04-24,76,0.2760388972727876,0.017658116725010525,SMAP_L3_SM_P_E_20190424_R19240_001.h5
2019-04-30,47,0.2372501866614565,0.02489140402707624,SMAP_L3_SM_P_E_20190430_R19240_001.h5
2019-05-06,0,,,SMAP_L3_SM_P_E_20190506_R19240_001.h5
2019-05-12,60,0.3173457823693752,0.04354949009591494,SMAP_L3_SM_P_E_20190512_R19240_001.h5
2019-05-18,71,0.2731634283989248,0.016788847272117647,SMAP_L3_SM_P_E_20190518_R19240_001.h5
2019-05-24,47,0.21476460771357758,0.02525517792546009,SMAP_L3_SM_P_E_20190524_R19240_001.h5
2019-05-30,0,,,SMAP_L3_SM_P_E_20190530_R19240_001.h5
2019-06-05,67,0.20076720572229642,0.014504167307520088,SMAP_L3_SM_P_E_20190605_R19240_001.h5
2019-06-11,0,,,SMAP_L3_SM_P_E_20190611_R19240_001.h5
2019-06-17,47,0.15252711703168584,0.014286128514520373,SMAP_L3_SM_P_E_20190617_R19240_001.h5
2019-07-23,0,,,SMAP_L3_SM_P_E_20190723_R19240_001.h5
2019-07-29,81,0.28261259216585277,0.02739724451273872,SMAP_L3_SM_P_E_20190729_R19240_001.h5
2019-08-04,49,0.24422530890727528,0.031907420464773115,SMAP_L3_SM_P_E_20190804_R19240_001.h5
2019-08-10,0,,,SMAP_L3_SM_P_E_20190810_R19240_001.h5
2019-08-16,70,0.21873393867697036,0.039380171370328905,SMAP_L3_SM_P_E_20190816_R19240_001.h5
2019-08-22,81,0.18246759915793384,0.02289325104899689,SMAP_L3_SM_P_E_20190822_R19240_001.h5
2019-08-28,49,0.1716089640953103,0.01818091471336494,SMAP_L3_SM_P_E_20190828_R19240_001.h5
2019-09-03,0,,,SMAP_L3_SM_P_E_20190903_R19240_001.h5
2019-09-09,70,0.3258147282259805,0.03075266267000216,SMAP_L3_SM_P_E_20190909_R19240_001.h5
2019-09-15,80,0.20780990086495876,0.024771704507044814,SMAP_L3_SM_P_E_20190915_R19240_001.h5
2019-09-21,49,0.2650683631702345,0.028546095306360098,SMAP_L3_SM_P_E_20190921_R19240_001.h5
2019-09-27,0,,,SMAP_L3_SM_P_E_20190927_R19240_001.h5
2019-10-03,10,0.36431696861982343,0.06216339920467284,SMAP_L3_SM_P_E_20191003_R19240_001.h5
2019-10-09,80,0.27816472556442023,0.02005496303463933,SMAP_L3_SM_P_E_20191009_R19240_001.h5
2019-10-15,49,0.2259097646693794,0.018198637936117028,SMAP_L3_SM_P_E_20191015_R19240_001.h5
2019-10-21,0,,,SMAP_L3_SM_P_E_20191021_R19240_001.h5
2019-10-27,62,0.24121531964309753,0.04746609085711501,SMAP_L3_SM_P_E_20191027_R19240_001.h5
2019-11-02,81,0.24615627527236938,0.018078151375297398,SMAP_L3_SM_P_E_20191102_R19240_001.h5
2019-11-08,28,0.3761499013219561,0.017171446263462516,SMAP_L3_SM_P_E_20191108_R19240_001.h5
2019-11-14,0,,,SMAP_L3_SM_P_E_20191114_R19240_001.h5
2019-11-20,60,0.3790669282277425,0.030002547768261535,SMAP_L3_SM_P_E_20191120_R19240_001.h5
2019-11-26,82,0.39412919886228515,0.030266804008006624,SMAP_L3_SM_P_E_20191126_R19240_001.h5
2019-12-02,46,0.41032692725243775,0.03184364577731778,SMAP_L3_SM_P_E_20191202_R19240_001.h5
2019-12-08,0,,,SMAP_L3_SM_P_E_20191208_R19240_001.h5
2019-12-14,55,0.37564585263078865,0.02156012459273298,SMAP_L3_SM_P_E_20191214_R19240_001.h5
2019-12-20,83,0.36111805453357926,0.024053971937998422,SMAP_L3_SM_P_E_20191220_R19240_001.h5
2019-12-26,51,0.37099874136494654,0.021772815191617976,SMAP_L3_SM_P_E_20191226_R19240_001.h5
2020-01-01,0,,,SMAP_L3_SM_P_E_20200101_R19240_001.h5
2020-01-07,75,0.30900819996992746,0.028647074940000936,SMAP_L3_SM_P_E_20200107_R19240_001.h5
2020-01-13,86,0.2975828375580699,0.023649779453072506,SMAP_L3_SM_P_E_20200113_R19240_001.h5
2020-01-19,52,0.3470521509074248,0.03955386962636763,SMAP_L3_SM_P_E_20200119_R19240_001.h5
2020-01-25,0,,,SMAP_L3_SM_P_E_20200125_R19240_001.h5
2020-01-31,78,0.29482739017559934,0.02153938349893873,SMAP_L3_SM_P_E_20200131_R19240_001.h5
2020-02-06,86,0.2787046423831651,0.024351449036885242,SMAP_L3_SM_P_E_20200206_R19240_001.h5
2020-02-12,51,0.2748803256773481,0.02028730963109607,SMAP_L3_SM_P_E_20200212_R19240_001.h5
2020-02-18,0,,,SMAP_L3_SM_P_E_20200218_R19240_001.h5
2020-02-24,80,0.24097629506140947,0.017475776540534917,SMAP_L3_SM_P_E_20200224_R19240_001.h5
2020-03-01,75,0.21720117092132568,0.013443637469969832,SMAP_L3_SM_P_E_20200301_R19240_001.h5
2020-03-07,50,0.31177032351493833,0.021421805669972788,SMAP_L3_SM_P_E_20200307_R19240_001.h5
2020-03-19,79,0.21761169991915738,0.016069811684295422,SMAP_L3_SM_P_E_20200319_R19240_001.h5
2020-03-25,76,0.18692601021183164,0.012822268033884346,SMAP_L3_SM_P_E_20200325_R19240_001.h5
2020-03-31,49,0.2585464782860814,0.02615074559067317,SMAP_L3_SM_P_E_20200331_R19240_001.h5
2020-04-06,0,,,SMAP_L3_SM_P_E_20200406_R19240_001.h5
2020-04-12,72,0.18515610591404968,0.015483300179207935,SMAP_L3_SM_P_E_20200412_R19240_001.h5
2020-04-18,79,0.17130621532096138,0.014115752968948922,SMAP_L3_SM_P_E_20200418_R19240_001.h5
2020-04-24,47,0.17701783760430964,0.025398175837415177,SMAP_L3_SM_P_E_20200424_R19240_001.h5
2020-04-30,0,,,SMAP_L3_SM_P_E_20200430_R19240_001.h5
2020-05-06,65,0.16119442192407754,0.01266446745113359,SMAP_L3_SM_P_E_20200506_R19240_001.h5
2020-05-12,74,0.21121352206210833,0.024344257758779977,SMAP_L3_SM_P_E_20200512_R19240_001.h5
2020-05-18,46,0.20302992800007696,0.01717950012295014,SMAP_L3_SM_P_E_20200518_R19240_001.h5
2020-05-24,0,,,SMAP_L3_SM_P_E_20200524_R19240_001.h5
2020-05-30,63,0.23064589192942966,0.018690484752989643,SMAP_L3_SM_P_E_20200530_R19240_001.h5
2020-06-05,76,0.3072681691693632,0.023220381972735578,SMAP_L3_SM_P_E_20200605_R19240_001.h5
2020-06-11,0,,,SMAP_L3_SM_P_E_20200611_R19240_001.h5
2020-06-17,0,,,SMAP_L3_SM_P_E_20200617_R19240_001.h5
2020-06-23,61,0.19970066234713696,0.019606821132174525,SMAP_L3_SM_P_E_20200623_R19240_001.h5
2020-06-29,78,0.18151830920042136,0.020147560285863036,SMAP_L3_SM_P_E_20200629_R19240_001.h5
2020-07-05,49,0.24477912485599518,0.024557311409986873,SMAP_L3_SM_P_E_20200705_R19240_001.h5
2020-07-11,0,,,SMAP_L3_SM_P_E_20200711_R19240_001.h5
2020-07-17,60,0.2599990665912628,0.06382916098427521,SMAP_L3_SM_P_E_20200717_R19240_001.h5
2020-07-23,81,0.3015184748319932,0.06662469503116973,SMAP_L3_SM_P_E_20200723_R19240_001.h5
2020-07-29,49,0.2055502366654727,0.02695618717867892,SMAP_L3_SM_P_E_20200729_R19240_001.h5
2020-08-04,0,,,SMAP_L3_SM_P_E_20200804_R19240_001.h5
2020-08-10,65,0.2096411950313128,0.025610470210813908,SMAP_L3_SM_P_E_20200810_R19240_001.h5
2020-08-16,81,0.1799413995978273,0.022346905958612148,SMAP_L3_SM_P_E_20200816_R19240_001.h5
2020-08-22,49,0.17054316371071096,0.013010528067571428,SMAP_L3_SM_P_E_20200822_R19240_001.h5
2020-08-28,0,,,SMAP_L3_SM_P_E_20200828_R19240_001.h5
2020-09-03,75,0.27776514093081156,0.026510504366305036,SMAP_L3_SM_P_E_20200903_R19240_001.h5
2020-09-09,81,0.21203780781339715,0.028968270299606247,SMAP_L3_SM_P_E_20200909_R19240_003.h5
2020-09-15,47,0.18543219027367044,0.010520048365368231,SMAP_L3_SM_P_E_20200915_R19240_001.h5
2020-09-21,0,,,SMAP_L3_SM_P_E_20200921_R19240_001.h5
2020-09-27,72,0.2815308502564828,0.021412780780685595,SMAP_L3_SM_P_E_20200927_R19240_001.h5
2020-10-03,39,0.2637239606716694,0.03751704797889319,SMAP_L3_SM_P_E_20201003_R19240_001.h5
2020-10-09,0,,,SMAP_L3_SM_P_E_20201009_R19240_001.h5
2020-10-15,0,,,SMAP_L3_SM_P_E_20201015_R19240_001.h5
2020-10-21,70,0.28636509094919477,0.022266519430318023,SMAP_L3_SM_P_E_20201021_R19240_001.h5
2020-10-27,81,0.3444256410922533,0.027188139029617055,SMAP_L3_SM_P_E_20201027_R19240_001.h5
2020-11-02,49,0.2742812070919543,0.019762150647463388,SMAP_L3_SM_P_E_20201102_R19240_001.h5
2020-11-08,0,,,SMAP_L3_SM_P_E_20201108_R19240_001.h5
2020-11-14,67,0.2220274483534827,0.024304769196646668,SMAP_L3_SM_P_E_20201114_R19240_001.h5
2020-11-20,74,0.3153166207107338,0.028262907290313045,SMAP_L3_SM_P_E_20201120_R19240_001.h5
2020-11-26,50,0.2728980022668839,0.016559927176750158,SMAP_L3_SM_P_E_20201126_R19240_001.h5
