master,slave,path,Bperp,delta_days
S1A_IW_SLC__1SDV_20180624T051040_20180624T051107_022494_026FB0_295D,S1A_IW_SLC__1SDV_20180624T051105_20180624T051132_022494_026FB0_B288,22,0,0
S1B_IW_SLC__1SDV_20180630T050958_20180630T051026_011598_015522_DBDA,S1B_IW_SLC__1SDV_20180630T051024_20180630T051051_011598_015522_D9C3,22,0,0
S1B_IW_SLC__1SDV_20180630T050958_20180630T051026_011598_015522_DBDA,S1B_IW_SLC__1SDV_20180712T050958_20180712T051026_011773_015A8C_3C04,22,175,12
S1B_IW_SLC__1SDV_20180630T050958_20180630T051026_011598_015522_DBDA,S1B_IW_SLC__1SDV_20180712T051024_20180712T051051_011773_015A8C_38C3,22,175,12
S1B_IW_SLC__1SDV_20180630T051024_20180630T051051_011598_015522_D9C3,S1B_IW_SLC__1SDV_20180712T050958_20180712T051026_011773_015A8C_3C04,22,175,11
S1B_IW_SLC__1SDV_20180630T051024_20180630T051051_011598_015522_D9C3,S1B_IW_SLC__1SDV_20180712T051024_20180712T051051_011773_015A8C_38C3,22,175,12
S1B_IW_SLC__1SDV_20180712T050958_20180712T051026_011773_015A8C_3C04,S1B_IW_SLC__1SDV_20180712T051024_20180712T051051_011773_015A8C_38C3,22,0,0
S1B_IW_SLC__1SDV_20180712T050958_20180712T051026_011773_015A8C_3C04,S1B_IW_SLC__1SDV_20180724T050959_20180724T051027_011948_015FE0_4510,22,175,12
S1B_IW_SLC__1SDV_20180712T050958_20180712T051026_011773_015A8C_3C04,S1B_IW_SLC__1SDV_20180724T051025_20180724T051052_011948_015FE0_0915,22,175,12
S1B_IW_SLC__1SDV_20180712T051024_20180712T051051_011773_015A8C_38C3,S1B_IW_SLC__1SDV_20180724T050959_20180724T051027_011948_015FE0_4510,22,175,11
S1B_IW_SLC__1SDV_20180712T051024_20180712T051051_011773_015A8C_38C3,S1B_IW_SLC__1SDV_20180724T051025_20180724T051052_011948_015FE0_0915,22,175,12
S1A_IW_SLC__1SDV_20180718T051042_20180718T051109_022844_027A23_3FE3,S1A_IW_SLC__1SDV_20180718T051106_20180718T051133_022844_027A23_E8E4,22,0,0
