Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
RA80-02,Pozzo,RA,RAVENNA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,748688,4920131,2.6,120,Fondo foro,1,114,120
RA82-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,747033,4929315,3.32,221,,,,
RA84-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,752295,4908913,11.06,180,Fondo foro,1,175,180
RA85-00,Pozzo,RA,FAENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,737064,4904662,24.2,242,,3,129,242
RA89-00,Pozzo,RA,FAENZA,IT080532ER-DQ2-CC,Conoide Lamone - confinato,728640,4908289,38.6,87.63,,1,52,87.63
RA89-02,Pozzo,RA,FAENZA,IT080532ER-DQ2-CC,Conoide Lamone - confinato,731384,4905584,45.2,65,,,,
RA90-00,Pozzo,RA,FAENZA,IT080230ER-DQ1-CL,Conoide Lamone - libero,727550,4905022,45,15.3,Fondo foro,1,10.3,15.3
RAA1-00,Pozzo,RA,CASTEL BOLOGNESE,IT080220ER-DQ1-CL,Conoide Senio - libero,723285,4911696,37.9,60,Fondo foro,1,42.5,58
RAA2-00,Pozzo,RA,RIOLO TERME,IT085090ER-AV2-VA,Depositi vallate App. Senio-Savio,715831,4905590,82,12,,,,
RA-F01-00,Pozzo,RA,CONSELICE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,728959,4940178,5,5.73,,,,
RA-F06-00,Piezometro,RA,RAVENNA,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,755574,4929643,1.12,10,,,,
RA-F13-01,Pozzo,RA,BAGNACAVALLO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,737935,4924053,8.3,7,,,,
RA-F14-00,Pozzo,RA,RUSSI,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,745191,4920756,5.8,7.25,,,,
RA-F16-00,Piezometro,RA,RAVENNA,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,765347,4915210,1,10.5,,,,
RA-F22-00,Pozzo,RA,RAVENNA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,747972,4908087,13.9,7.7,,,,
RA-F23-01,Pozzo,RA,CERVIA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,758727,4902869,16,11,,,,
RE01-03,Pozzo,RE,BRESCELLO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,616999,4968726,28.6,130,,,,
RE03-01,Pozzo,RE,GUALTIERI,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,629018,4969333,19.07,60,,,,
RE04-00,Pozzo,RE,POVIGLIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,622139,4966148,28.37,108,Fondo foro,1,105.5,108
RE06-00,Pozzo,RE,GATTATICO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,616008,4965393,33.42,113,Fondo foro,1,110,113
RE10-00,Pozzo,RE,GUASTALLA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,630724,4975490,22.13,112,Fondo foro,1,85,112
RE14-01,Pozzo,RE,CAMPAGNOLA EMILIA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,638714,4966789,24.71,97,,,,
RE15-00,Pozzo,RE,CAMPAGNOLA EMILIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,638692,4964900,25.86,170,,,,
RE16-01,Pozzo,RE,CAMPEGINE,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,618355,4958394,39,120,,1,86,89
RE18-03,Pozzo,RE,CADELBOSCO DI SOPRA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,628927,4964032,22.3,240,Fondo foro,1,238,240
RE19-01,Pozzo,RE,BAGNOLO IN PIANO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,632515,4957696,32,70,Fondo foro,1,65,70
RE19-02,Pozzo,RE,BAGNOLO IN PIANO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,632048,4958671,32,75,,,,
RE19-03,Pozzo,RE,BAGNOLO IN PIANO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,631967,4957053,33.2,70,,,,
RE21-00,Pozzo,RE,CORREGGIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,643429,4959572,29.1,116,Fondo foro,1,108,111
RE22-00,Pozzo,RE,SANT'ILARIO D'ENZA,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,616819,4954961,60.67,90,,3,45,86
RE23-00,Pozzo,RE,REGGIO NELL'EMILIA,IT080370ER-DQ2-CCS,Conoide Enza - confinato superiore,623908,4955035,38.7,74,,3,27.2,73.6
RE23-01,Pozzo,RE,REGGIO NELL'EMILIA,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,624032,4954957,38.7,267.5,,5,129.64,259.96
RE23-02,Pozzo,RE,REGGIO NELL'EMILIA,IT080370ER-DQ2-CCS,Conoide Enza - confinato superiore,623977,4954802,38.7,33.5,,,,
RE24-00,Pozzo,RE,REGGIO NELL'EMILIA,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,623901,4955026,38.98,278,,6,132.94,263.86
RE25-00,Pozzo,RE,CAVRIAGO,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,620162,4952943,58.99,160,,7,52,156
RE25-01,Piezometro,RE,CAVRIAGO,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,619416,4952951,60.47,84,Fondo foro,1,69,84
RE26-00,Pozzo,RE,CAVRIAGO,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,621961,4951098,59.65,150,,9,50.5,76
RE31-00,Pozzo,RE,SAN MARTINO IN RIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,641894,4952670,38.32,165,Fondo foro,1,152.5,157.5
RE32-00,Pozzo,RE,MONTECCHIO EMILIA,IT080090ER-DQ1-CL,Conoide Enza - libero,614113,4949322,106.66,80,,1,30.5,37.5
RE33-00,Pozzo,RE,BIBBIANO,IT080090ER-DQ1-CL,Conoide Enza - libero,615503,4948290,112.72,56,,4,20,56
RE33-02,Pozzo,RE,BIBBIANO,IT080090ER-DQ1-CL,Conoide Enza - libero,615874,4947650,116.2,61,,1,18,59
RE34-03,Pozzo,RE,REGGIO NELL'EMILIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,627945,4955902,37.2,85,,,,
RE36-00,Pozzo,RE,REGGIO NELL'EMILIA,IT082380ER-DQ2-CCI,Conoide Crostolo-Tresinaro - confinato inferiore,633837,4948233,54.79,109,Fondo foro,1,82,101
RE37-00,Pozzo,RE,REGGIO NELL'EMILIA,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,625488,4946534,100.41,90,,3,41.5,80.7
RE38-03,Pozzo,RE,RUBIERA,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,641074,4948577,46,60,,,,
RE39-00,Pozzo,RE,REGGIO NELL'EMILIA,IT080380ER-DQ2-CCS,Conoide Crostolo-Tresinaro - confinato superiore,633322,4946975,57.38,28,Fondo foro,1,24,26
RE42-03,Pozzo,RE,REGGIO NELL'EMILIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,634445,4954582,38,50,,,,
RE43-00,Pozzo,RE,ALBINEA,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,630696,4942166,111.93,41,Fondo foro,1,37,41
RE44-00,Pozzo,RE,ALBINEA,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,631486,4942979,91.3,90,,4,26.6,72.9
RE45-00,Pozzo,RE,RUBIERA,IT082390ER-DQ2-CCI,Conoide Secchia - confinato inferiore,641743,4945300,53.38,305,,6,243,295
RE46-00,Pozzo,RE,SCANDIANO,IT080380ER-DQ2-CCS,Conoide Crostolo-Tresinaro - confinato superiore,637544,4942699,67.72,48,Fondo foro,1,46,48
RE46-01,Pozzo,RE,SCANDIANO,IT080380ER-DQ2-CCS,Conoide Crostolo-Tresinaro - confinato superiore,636501,4943043,70.9,64,,,,
RE47-00,Pozzo,RE,CASALGRANDE,IT082390ER-DQ2-CCI,Conoide Secchia - confinato inferiore,641368,4942502,62.3,258,Fondo foro,1,213,247
RE48-00,Pozzo,RE,CASALGRANDE,IT080380ER-DQ2-CCS,Conoide Crostolo-Tresinaro - confinato superiore,637473,4939413,94.07,30,,,,
RE48-03,Pozzo,RE,SCANDIANO,IT080110ER-DQ1-CL,Conoide Tresinaro - libero,635422,4940058,89,30,,,,
RE48-04,Pozzo,RE,SCANDIANO,IT080380ER-DQ2-CCS,Conoide Crostolo-Tresinaro - confinato superiore,637693,4941644,68,36,,,,
RE49-01,Pozzo,RE,CASALGRANDE,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,638432,4939123,88.88,80,,,,
RE50-00,Pozzo,RE,CASALGRANDE,IT080120ER-DQ1-CL,Conoide Secchia - libero,641180,4939682,79.85,158,,6,55,156
RE53-02,Pozzo,RE,ROLO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,645934,4972889,18.7,81,Fondo foro,1,67,81
RE54-00,Pozzo,RE,SANT'ILARIO D'ENZA,IT080090ER-DQ1-CL,Conoide Enza - libero,614257,4956182,63.77,113,,5,11,113
RE54-02,Pozzo,RE,SANT'ILARIO D'ENZA,IT080090ER-DQ1-CL,Conoide Enza - libero,614059,4955328,66,50,,,,
RE55-00,Pozzo,RE,REGGIO NELL'EMILIA,IT082380ER-DQ2-CCI,Conoide Crostolo-Tresinaro - confinato inferiore,627553,4950455,55.35,150,,3,90,146
RE58-00,Pozzo,RE,GUASTALLA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,636117,4975145,20.2,119,,,,
RE60-00,Pozzo,RE,BORETTO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,623377,4973053,22.51,110,,,,
RE68-00,Pozzo,RE,RIO SALICETO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,642964,4965924,22.6,225,Fondo foro,1,220,225
RE68-02,Pozzo,RE,RIO SALICETO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,642668,4963947,25,181,,1,178,181
RE69-00,Pozzo,RE,SANT'ILARIO D'ENZA,IT080090ER-DQ1-CL,Conoide Enza - libero,615347,4955861,60.8,112,Fondo foro,1,81,100
RE70-00,Pozzo,RE,QUATTRO CASTELLA,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,621239,4944491,138.3,88,,3,46,74
RE71-00,Pozzo,RE,MONTECCHIO EMILIA,IT080090ER-DQ1-CL,Conoide Enza - libero,613417,4947904,116,57,,1,43,48
RE72-02,Pozzo,RE,BIBBIANO,IT080090ER-DQ1-CL,Conoide Enza - libero,614707,4946585,127.1,70,,,,
RE73-01,Pozzo,RE,REGGIO NELL'EMILIA,IT082370ER-DQ2-CCI,Conoide Enza - confinato inferiore,624110,4950447,57.8,63,Fondo foro,1,60,63
RE74-00,Pozzo,RE,BIBBIANO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,619199,4949267,100,44,,1,35,38
RE75-01,Pozzo,RE,REGGIO NELL'EMILIA,IT080100ER-DQ1-CL,Conoide Crostolo - libero,627347,4946952,85,30.5,Fondo foro,1,23,28
RE76-00,Pozzo,RE,REGGIO NELL'EMILIA,IT082380ER-DQ2-CCI,Conoide Crostolo-Tresinaro - confinato inferiore,630151,4946622,65.3,103,Fondo foro,1,100,103
RE77-00,Pozzo,RE,ALBINEA,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,627659,4942140,145,70,Fondo foro,1,64,66
RE77-01,Pozzo,RE,ALBINEA,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,627726,4942145,143,100,Fondo foro,,,
RE78-00,Pozzo,RE,QUATTRO CASTELLA,IT080380ER-DQ2-CCS,Conoide Crostolo-Tresinaro - confinato superiore,623581,4943104,149.1,100,,2,29.1,50.3
RE79-01,Pozzo,RE,BIBBIANO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,616803,4945480,135,60,Fondo foro,1,40,60
RE80-01,Pozzo,RE,CASALGRANDE,IT080110ER-DQ1-CL,Conoide Tresinaro - libero,636801,4939110,102.4,101,,,,
RE80-03,Pozzo,RE,SCANDIANO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,634705,4938158,139,20,,,,
RE80-04,Pozzo,RE,CASALGRANDE,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,637736,4937195,132,78,,,,
RE81-00,Pozzo,RE,REGGIO NELL'EMILIA,IT080380ER-DQ2-CCS,Conoide Crostolo-Tresinaro - confinato superiore,631235,4952549,40.2,60,,,,
RE82-00,Pozzo,RE,MONTECCHIO EMILIA,IT080090ER-DQ1-CL,Conoide Enza - libero,613605,4948382,116,67,,1,45,52
RE83-00,Pozzo,RE,CANOSSA,IT085030ER-AV2-VA,Depositi vallate App. Taro-Enza-Tresinaro,611593,4939680,190,5.5,,,,
RE84-00,Pozzo,RE,SCANDIANO,IT080110ER-DQ1-CL,Conoide Tresinaro - libero,631535,4937605,121.3,10,,,,
RE85-00,Pozzo,RE,REGGIO NELL'EMILIA,IT080100ER-DQ1-CL,Conoide Crostolo - libero,627808,4948101,74.2,14.2,,,,
RE85-01,Pozzo,RE,REGGIO NELL'EMILIA,IT080100ER-DQ1-CL,Conoide Crostolo - libero,627138,4949623,63,55,Fondo foro,,,
RE86-00,Pozzo,RE,CASTELLARANO,IT085040ER-AV2-VA,Depositi vallate App. Secchia,634199,4926401,181,17,,,,
RE86-01,Pozzo,RE,CASTELLARANO,IT085040ER-AV2-VA,Depositi vallate App. Secchia,633255,4926551,197,15,,,,
RE90-00,Pozzo,RE,REGGIO NELL'EMILIA,IT080100ER-DQ1-CL,Conoide Crostolo - libero,627639,4946815,93.4,34,,,,
RE-F01-00,Pozzo,RE,REGGIO NELL'EMILIA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,635132,4948538,53.5,7.2,,,,
RE-F03-00,Pozzo,RE,CORREGGIO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,643911,4960799,27.5,11,,,,
RE-F05-00,Pozzo,RE,CADELBOSCO DI SOPRA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,628880,4959432,27.5,6.5,,,,
RE-F11-00,Pozzo,RE,BRESCELLO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,617034,4972417,25,5.4,,,,
RE-F11-01,Pozzo,RE,BRESCELLO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,620232,4972010,25,8,,,,
RE-F12-00,Pozzo,RE,GUALTIERI,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,629949,4973962,22,5.3,,,,
RN02-00,Pozzo,RN,MISANO ADRIATICO,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,797566,4874609,8,36.5,Fondo foro,1,23,29
RN03-00,Piezometro,RN,SANTARCANGELO DI ROMAGNA,IT080280ER-DQ1-CL,Conoide Marecchia - libero,777283,4881282,50.336,28,Fondo foro,1,12,28
RN04-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,784553,4884990,8.16,50,,1,28,29
RN05-00,Piezometro,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,780345,4885373,20.451,96,Fondo foro,1,90,96
RN06-00,Pozzo,RN,MISANO ADRIATICO,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,798118,4874977,2.4,34.7,,,,
RN21-02,Pozzo,RN,RIMINI,IT080280ER-DQ1-CL,Conoide Marecchia - libero,779194,4882616,33.3,53.6,Fondo foro,1,39.5,52.5
RN29-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,777722,4887408,22.37,37.4,Fondo foro,1,26,37.4
RN30-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,781291,4887309,14.07,42,,2,25.5,38.5
RN31-01,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,783994,4885076,6.6,31,Fondo foro,1,25.4,28.4
RN33-01,Pozzo,RN,SANTARCANGELO DI ROMAGNA,IT080280ER-DQ1-CL,Conoide Marecchia - libero,776419,4884064,41.2,27,,,,
RN34-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,785421,4884848,3,30,Fondo foro,1,26.6,29.5
RN36-00,Pozzo,RN,RICCIONE,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,794961,4876586,13.5,33,,,,
RN38-00,Pozzo,RN,SAN GIOVANNI IN MARIGNANO,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,799246,4872215,21,34.3,,,,
RN38-01,Pozzo,RN,SAN GIOVANNI IN MARIGNANO,IT080290ER-DQ1-CL,Conoide Conca - libero,798396,4872593,25,38,,,,
RN59-00,Pozzo,RN,BELLARIA-IGEA MARINA,IT082590ER-DQ2-CCI,Conoide Marecchia - confinato inferiore,778854,4890670,10.5,234,,5,42,219
RN60-01,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,778815,4885449,28.5,78,,1,65.5,71.5
RN62-00,Pozzo,RN,CATTOLICA,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,800113,4873916,10.29,35.6,,2,10,15.5
RN63-01,Pozzo,RN,RIMINI,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,786274,4881805,13.6,7,,,,
RN66-00,Pozzo,RN,RICCIONE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,792434,4877742,12.08,8,,,,
RN67-00,Pozzo,RN,MISANO ADRIATICO,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,798091,4874982,4,32.3,,,,
RN67-01,Pozzo,RN,MISANO ADRIATICO,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,796795,4875645,4,42,Fondo foro,1,28.6,36.9
RN68-00,Pozzo,RN,MISANO ADRIATICO,IT080600ER-DQ2-CCS,Conoide Conca - confinato superiore,797093,4875432,3.1,36,,,,
RN70-00,Piezometro,RN,SAN GIOVANNI IN MARIGNANO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,796986,4873830,18.6,15,,,,
RN71-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,780313,4886907,17.7,101.2,Fondo foro,1,90.7,96.7
RN72-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,781199,4884985,17.75,105,Fondo foro,1,89,101
RN73-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,782375,4885516,12.9,50,,1,35,44
RN74-00,Pozzo,RN,RIMINI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,780624,4889890,1.5,25,Fondo foro,1,20.5,23.8
RN76-00,Pozzo,RN,SAN CLEMENTE,IT080290ER-DQ1-CL,Conoide Conca - libero,794124,4870628,75,13,,,,
RN77-00,Pozzo,RN,RIMINI,IT082590ER-DQ2-CCI,Conoide Marecchia - confinato inferiore,781240,4884920,17,119,Fondo foro,1,107,113
RN-F01-00,Piezometro,RN,RIMINI,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,781166,4889206,2,5.5,,,,
RN-F02-00,Pozzo,RN,RIMINI,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,786461,4881183,16,7.8,,,,
RN-F03-00,Piezometro,RN,MISANO ADRIATICO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,795537,4876404,4,5.7,,,,
RN-M11-00,Pozzo,RN,NOVAFELTRIA,IT085100IR-AV2-VA,Depositi vallate App. Marecchia-Conca,766128,4868356,210,9.8,,,,
