Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BO75-01,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,693061,4929852,48,46,,,,
BO77-01,Pozzo,BO,VALSAMOGGIA,IT080420ER-DQ2-CCS,Conoide Samoggia - confinato superiore,671263,4931041,60,100,,,,
BO78-01,Pozzo,BO,BOLOGNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,689825,4933567,37.46,450.63,,9,135,420.45
BO79-00,Pozzo,BO,IMOLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,721626,4928881,8,459,,9,165.25,454.55
BO82-01,Pozzo,BO,CREVALCORE,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,680090,4962867,16,85,,,,
BO83-00,Pozzo,BO,GALLIERA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,690975,4958871,13.77,190,,,,
BO84-01,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080492ER-DQ2-CCS,Conoide Sillaro-Sellustra - confinato superiore,706413,4922717,51.2,20,,,,
BO87-01,Pozzo,BO,CALDERARA DI RENO,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,680579,4938855,25,,,,,
BO88-02,Pozzo,BO,ZOLA PREDOSA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,676914,4928322,77,101.93,,3,29.07,99.7
BO89-00,Pozzo,BO,ZOLA PREDOSA,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,674322,4930012,73.8,226.3,,8,106.78,223.8
BO92-00,Pozzo,BO,ANZOLA EMILIA,IT082420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,672582,4936972,35.72,150,,2,88.5,147
BO95-00,Pozzo,BO,BUDRIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,702423,4935153,23.5,486,,3,246,476
BO99-00,Pozzo,BO,GRANAROLO DELL'EMILIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,691566,4935651,29.8,213,,3,88.82,212.75
