Prov,Codice,Tipologia stazione,Comune,Codice_GWB_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m,Uso
FC,FC83-00,Pozzo,FORLI',2540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,744553,4898760,28,100,,2,57,85,Acquedottistico
FC,FC83-01,Pozzo,FORLI,2540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,744603,4898725,27.9,90.6,,2,56.7,86.6,Acquedottistico
FC,FC85-00,Pozzo,FORLIMPOPOLI,0245ER-DQ1-CL,Conoide Ronco-Montone - libero,747556,4896538,23,22.65,,,,,Non in uso
FC,FC86-00,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,738934,4903088,26,249.5,,3,205.4,242,Industriale
FC,FC89-00,Pozzo,FORLI',0245ER-DQ1-CL,Conoide Ronco-Montone - libero,745925,4893453,47,10,,,,,Domestico
FC,FC90-00,Pozzo,CESENA,0270ER-DQ1-CL,Conoide Savio - libero,757886,4893264,25,125,,1,63.5,72,Acquedottistico
FC,FC93-00,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,746304,4901831,22,132,Fondo foro,1,120,129,Acquedottistico
FC,FC94-00,Pozzo,CASTROCARO TERME E TERRA DEL SOLE,5090ER-AV2-VA,Depositi vallate App. Senio-Savio,736705,4896222,55,13.5,,,,,Irriguo
FC,FC95-00,Pozzo,MELDOLA,5090ER-AV2-VA,Depositi vallate App. Senio-Savio,744829,4888543,81,5,,,,,Domestico
FC,FC96-00,Pozzo,CESENA,5090ER-AV2-VA,Depositi vallate App. Senio-Savio,754308,4882052,73,5.5,,,,,Domestico
FC,FC97-00,Pozzo,FORLÌ,0245ER-DQ1-CL,Conoide Ronco-Montone - libero,738566,4899203,47.1,42,,,,,Irriguo
FC,FC98-00,Pozzo,FORLÌ,0245ER-DQ1-CL,Conoide Ronco-Montone - libero,741429,4895561,53,8,,,,,Domestico
FC,FC99-00,Pozzo,FORLÌ,0540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,746228,4900780,22.4,80,,1,61.5,68.5,Industriale
