station_code,date,piezometry_m,depth_to_water_m,measurement_type,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,lon,lat,use
BO-F07-00,2017-09-26,15.85,2.25,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2018-04-05,17.00,1.10,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2018-10-09,16.05,2.05,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2019-09-24,16.12,1.98,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2020-05-27,15.55,2.55,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2020-09-22,16.25,1.85,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2021-04-22,16.85,1.25,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2021-10-05,16.03,2.07,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2022-04-05,15.62,2.48,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2022-07-11,14.69,3.41,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2022-10-06,15.98,2.12,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
