station_code,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,source_type,lon,lat,metadata_source,use
BOH0-00,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080192ER-DQ1-CL,Conoide Zena-Idice - libero,692784,4924110,79.0,51.0,,,,,manual,11.4227163668,44.4445965484,manual,
BOH1-00,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080192ER-DQ1-CL,Conoide Zena-Idice - libero,694780,4924511,71.0,100.0,,,,,manual,11.4479281627,44.4476687338,manual,
BOH2-00,Pozzo,BO,DOZZA,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,709871,4917220,76.0,16.0,,,,,manual,11.6344468618,44.3778779758,manual,
BOH2-01,Pozzo,BO,DOZZA,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,709980,4917172,76.0,15.0,,,,,manual,11.635794288,44.37741474,manual,
BOK1-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080200ER-DQ1-CL,Conoide Sillaro - libero,706731,4917663,84.5,14.0,,,,,manual,11.5952479988,44.3827641381,manual,
BOK2-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080200ER-DQ1-CL,Conoide Sillaro - libero,708077,4920226,59.5,80.0,,,,,manual,11.6131541996,44.4054294747,manual,
BOK3-00,Pozzo,BO,VALSAMOGGIA,IT080420ER-DQ2-CCS,Conoide Samoggia - confinato superiore,672484,4936180,37.0,30.0,Fondo foro,1.0,20.0,25.0,manual,11.1718282782,44.5583065646,manual,
BOK5-00,Pozzo,BO,MEDICINA,IT080492ER-DQ2-CCS,Conoide Sillaro-Sellustra - confinato superiore,709366,4927310,28.0,28.0,,,,,manual,11.6321857961,44.4687667461,manual,
BOK9-00,Pozzo,BO,MINERBIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,696947,4942912,18.0,87.0,,2.0,75.0,87.0,manual,11.4821607066,44.6125848961,manual,
FC01-00,Pozzo,FC,FORLÌ,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,745412,4902354,22.0,176.0,,2.0,116.4,166.0,manual,12.073002448,44.2330780661,manual,
FC02-00,Pozzo,FC,FORLÌ,IT080540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,737408,4900953,39.1,30.0,,,,,manual,11.9722794425,44.2231326848,manual,
FC03-02,Pozzo,FC,FORLÌ,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,742205,4898227,41.0,44.0,Fondo foro,1.0,38.0,44.0,manual,12.0309955849,44.1970468052,manual,
FC04-00,Pozzo,FC,FORLIMPOPOLI,IT080540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,749779,4897241,31.0,41.9,,,,,manual,12.125171307,44.1856301204,manual,
FC06-02,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,757142,4894783,33.5,131.5,,4.0,52.5,122.4,manual,12.2159511749,44.1609792015,manual,
FC06-03,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,757656,4894146,35.0,71.0,Fondo foro,1.0,60.27,66.07,manual,12.2220575163,44.1550721632,manual,
FC07-02,Pozzo,FC,GAMBETTOLA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,769221,4889764,20.7,40.0,Fondo foro,1.0,36.0,40.0,manual,12.3641998199,44.1115200129,manual,
FC12-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,745334,4908329,17.03,200.0,Fondo foro,1.0,199.0,200.0,manual,12.0748280839,44.2868203251,manual,
FC13-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,742537,4904150,23.46,150.0,Fondo foro,1.0,149.0,150.0,manual,12.0378842856,44.2501872384,manual,
FC14-02,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,748563,4900097,24.5,170.3,Fondo foro,1.0,156.9,160.3,manual,12.1113314502,44.2117202824,manual,
